Date,Open,High,Low,Close
05/03/2023,"22.2100","22.3800","21.2200","21.7000"
05/02/2023,"21.6500","22.4100","21.6500","22.2100"
05/01/2023,"23.0400","23.1700","21.5900","21.6600"
04/30/2023,"23.2500","23.9600","22.9500","23.0400"
04/29/2023,"23.1800","23.8300","23.0000","23.2500"
04/28/2023,"22.4200","23.4800","22.1600","23.1800"
04/27/2023,"21.4900","22.5400","21.0700","22.4200"
04/26/2023,"21.5300","22.9500","20.4900","21.4300"
04/25/2023,"21.3200","21.5400","20.7600","21.5100"
04/24/2023,"21.2400","22.0200","21.0300","21.3200"
04/23/2023,"21.7700","22.2500","21.0000","21.2400"
04/22/2023,"21.3400","21.9600","21.0700","21.7700"
04/21/2023,"21.9200","22.4100","21.0300","21.3400"
04/20/2023,"23.0100","23.1600","21.6200","21.9200"
04/19/2023,"24.8600","25.0000","22.0800","23.0500"
04/18/2023,"24.6600","25.4400","24.0300","24.8600"
04/17/2023,"25.3700","26.0200","24.3500","24.6600"
04/16/2023,"23.8900","25.4800","23.8400","25.4200"
04/15/2023,"24.6200","24.9900","23.8700","23.9000"
04/14/2023,"24.7500","25.5000","23.7700","24.6200"
04/13/2023,"24.1400","25.2500","23.6500","24.7500"
04/12/2023,"23.2400","24.4700","22.3900","24.1400"
04/11/2023,"20.6200","23.6900","20.5700","23.2200"
04/10/2023,"20.2400","20.7300","20.0900","20.5800"
04/09/2023,"20.2100","20.3900","19.8700","20.2400"
04/08/2023,"20.4000","20.7300","20.0600","20.2100"
04/07/2023,"20.5600","20.7700","20.2500","20.4100"
04/06/2023,"20.8300","21.1200","20.4300","20.5800"
04/05/2023,"21.0400","21.3600","20.5500","20.8300"
04/04/2023,"20.2800","21.2500","20.1100","21.0400"
04/03/2023,"20.4400","20.9700","19.9700","20.4100"
04/02/2023,"21.0700","21.2800","20.2600","20.4400"
04/01/2023,"20.8500","21.4700","20.7800","21.0700"
03/31/2023,"20.6700","21.0000","20.0900","20.8500"
03/30/2023,"21.2300","21.6400","20.1400","20.6600"
03/29/2023,"20.5200","21.5500","20.2400","21.2300"
03/28/2023,"19.7200","20.8100","19.6100","20.5200"
03/27/2023,"20.8600","21.1000","19.4400","19.7300"
03/26/2023,"20.3400","21.1600","20.2100","20.8200"
03/25/2023,"20.5300","20.9600","20.1700","20.3300"
03/24/2023,"22.1600","22.2800","20.3200","20.5300"
03/23/2023,"21.6400","22.7500","21.1500","22.1300"
03/22/2023,"22.5500","23.0800","21.0300","21.6700"
03/21/2023,"22.4900","23.3300","21.5500","22.5800"
03/20/2023,"21.9500","23.9200","21.5000","22.4900"
03/19/2023,"22.1100","22.4800","21.1400","21.9300"
03/18/2023,"20.4100","22.8800","20.4100","22.1100"
03/17/2023,"19.3500","20.7700","19.3500","20.4100"
03/16/2023,"19.2900","19.9300","18.9700","19.3500"
03/15/2023,"20.7800","21.5200","18.7800","19.2900"
03/14/2023,"20.4100","22.1500","19.8600","20.8500"
03/13/2023,"19.0300","21.5300","18.9100","20.4100"
03/12/2023,"18.1400","19.1100","17.8900","19.0500"
03/11/2023,"17.7600","19.0400","17.0500","18.1400"
03/10/2023,"16.9200","17.9600","16.0300","17.7800"
03/09/2023,"18.6800","18.7700","16.7100","16.9300"
03/08/2023,"19.9300","20.3600","18.4800","18.7000"
03/07/2023,"20.6100","20.9500","19.8900","19.9400"
03/06/2023,"21.1800","21.1800","20.4800","20.6100"
